time,latitude,longitude,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,compass,gps_x,gps_y,gps_z
1742888638.6631484,-0.0005017823374799946,0.0008169783152824308,-0.00469488138332963,-3.963531494140625,-7.398853302001953,-0.3600187301635742,0.01486355159431696,0.041236016899347305,-0.8448168039321899,2.5578346252441406,90.94561004638672,55.858154296875,-0.00469488138332963
1742888638.7106469,-0.0005065204036895921,0.0008210661460259389,-0.0049450877122581005,-3.808917999267578,-6.627163887023926,-0.6748228073120117,-0.01698325201869011,0.0476556122303009,-0.8361271619796753,2.4802844524383545,91.15850067138672,56.11580276489258,-0.00432371161878109
1742888638.736607,-0.0005078015131800839,0.0008222946541335318,-0.005361499730497599,-3.808917999267578,-6.627163887023926,-0.6748228073120117,-0.01698325201869011,0.0476556122303009,-0.8361271619796753,2.4802844524383545,91.53742218017578,56.52820587158203,-0.005361499730497599
1742888638.7652826,-0.0005078015131800839,0.0008222946541335318,-0.005361499730497599,-4.030910491943359,-6.357050895690918,-0.29154205322265625,-0.011822696775197983,0.04474225267767906,-0.8382908701896667,2.4574456214904785,91.53742218017578,56.52820587158203,-0.005361499730497599
1742888638.8002844,-0.0005106137515582532,0.0008252652107252976,-0.006400661543011665,-4.044195175170898,-8.106770515441895,-0.3136711120605469,-0.023358413949608803,0.04056646674871445,-0.8850803375244141,2.4320549964904785,91.86810302734375,56.84126281738281,-0.006400661543011665
1742888638.8337526,-0.0005106137515582532,0.0008252652107252976,-0.006400661543011665,-3.3660178184509277,-6.905189514160156,-0.2573366165161133,-0.01797904074192047,0.03371881693601608,-0.8948978185653687,2.4011902809143066,91.86810302734375,56.84126281738281,-0.006400661543011665
1742888638.8837337,-0.000511953013884181,0.0008268210468508467,-0.00669095991179347,-2.5347037315368652,-7.038121223449707,-0.02814006805419922,0.03827440366148949,0.05145448446273804,-0.8877812623977661,2.372253894805908,92.04129791259766,56.99034881591797,-0.00669095991179347
1742888638.9314332,-0.000513854134467806,0.0008291564116355737,-0.006091251038014889,-1.3906811475753784,-4.963491916656494,0.36822509765625,0.0794546827673912,0.0329032763838768,-0.7951343059539795,2.3321480751037598,92.30126953125,57.20198059082031,-0.006091251038014889
1742888638.968874,-0.0005170145700930107,0.000833457252320415,-0.005304317455738783,0.7129470109939575,-5.739429473876953,-0.1940145492553711,0.04856814816594124,0.003940250724554062,-0.771671712398529,2.265972375869751,92.78003692626953,57.55379867553711,-0.005304317455738783
1742888639.011754,-0.000518502178607605,0.0008357135950773565,-0.0055963704362511635,2.1331629753112793,-6.105967998504639,-0.5037345886230469,-0.009297395125031471,-0.03165670484304428,-0.7672194242477417,2.2335944175720215,93.03121185302734,57.719398498535156,-0.0055963704362511635
1742888639.0498054,-0.000518502178607605,0.0008357135950773565,-0.0055963704362511635,2.1331629753112793,-6.105967998504639,-0.5037345886230469,-0.009297395125031471,-0.03165670484304428,-0.7672194242477417,2.2335944175720215,93.03121185302734,57.719398498535156,-0.0055963704362511635
1742888639.0911698,-0.0005212532828693384,0.0008402211403899523,-0.00773416506126523,3.29451847076416,-4.331254482269287,-0.07599544525146484,0.0119191138073802,-0.038339708000421524,-0.679072916507721,2.177104949951172,93.53298950195312,58.02565002441406,-0.00773416506126523
1742888639.1266003,-0.0005212532828693384,0.0008402211403899523,-0.00773416506126523,3.29451847076416,-4.331254482269287,-0.07599544525146484,0.0119191138073802,-0.038339708000421524,-0.679072916507721,2.177104949951172,93.53298950195312,58.02565002441406,-0.00773416506126523
1742888639.1618826,-0.000523633984244043,0.0008445564546914251,-0.00935449544340372,3.1477768421173096,-5.159109115600586,-0.028659820556640625,-4.648667527362704e-05,-0.026318974792957306,-0.6712865233421326,2.128772735595703,94.01559448242188,58.29066848754883,-0.00935449544340372
1742888639.209639,-0.000523633984244043,0.0008445564546914251,-0.00935449544340372,3.1477768421173096,-5.159109115600586,-0.028659820556640625,-4.648667527362704e-05,-0.026318974792957306,-0.6712865233421326,2.128772735595703,94.01559448242188,58.29066848754883,-0.00935449544340372
1742888639.2479126,-0.0005250575458433104,0.0008474350359481622,-0.010089931078255177,3.031627655029297,-6.357238292694092,-0.04782676696777344,-0.024193523451685905,-0.013844680041074753,-0.7206053137779236,2.0966315269470215,94.3360366821289,58.44913864135742,-0.010089931078255177
1742888639.2813525,-0.0005261976082095998,0.0008499521582503974,-0.010532703250646591,2.95048189163208,-6.729116916656494,-0.07004737854003906,-0.03138022869825363,-0.0034022978506982327,-0.7510117888450623,2.067718982696533,94.61624145507812,58.5760498046875,-0.010532703250646591
1742888639.3021522,-0.0005271499504573285,0.0008522184387298271,-0.010812778025865555,3.505821943283081,-6.521616458892822,-0.0995626449584961,-0.040455710142850876,0.001147131435573101,-0.7794947624206543,2.041529893875122,94.86852264404297,58.682064056396484,-0.010812778025865555
1742888639.3330448,-0.0005277500860785267,0.0008537391844145903,-0.010959339328110218,4.771278381347656,-6.956572532653809,-0.15375518798828125,-0.04645485430955887,0.002846625167876482,-0.7964281439781189,2.024001121520996,95.03781127929688,58.748870849609375,-0.010959339328110218
1742888639.3677123,-0.0005285150508456127,0.0008557832025903701,-0.011120776645839214,5.400094985961914,-6.379470348358154,-0.16772937774658203,-0.03505508974194527,0.004553411155939102,-0.7845659852027893,2.0011205673217773,95.26535034179688,58.83402633666992,-0.011120776645839214
1742888639.3912094,-0.0005294041685885986,0.0008583215710579249,-0.011249560862779617,4.390817165374756,-6.101347923278809,-0.1436319351196289,-0.028314560651779175,0.010654434561729431,-0.7798671126365662,1.9736406803131104,95.54792022705078,58.93300247192383,-0.011249560862779617
1742888639.424086,-0.0005307101223905875,0.0008624717010410314,-0.011289500631392002,3.6419296264648438,-6.473649501800537,-0.1466531753540039,-0.0280113834887743,0.015588758513331413,-0.7797923684120178,1.9545716047286987,96.0099105834961,59.0783805847168,-0.011289500631392002
1742888639.4564192,-0.0005307101223905875,0.0008624717010410314,-0.011289500631392002,3.2576303482055664,-6.7075090408325195,-0.15979385375976562,-0.026897534728050232,0.02192349173128605,-0.7820994257926941,1.9301116466522217,96.0099105834961,59.0783805847168,-0.011289500631392002
1742888639.4888875,-0.0005314061056651553,0.0008650185679747141,-0.011206340976059437,2.2485525608062744,-8.401158332824707,-0.20026302337646484,-0.05553986504673958,0.03428269550204277,-0.84964919090271,1.902791976928711,96.29342651367188,59.15585708618164,-0.011206340976059437
1742888639.507589,-0.0005322897405193316,0.000869069115124887,-0.010854244232177734,-0.1812509298324585,-10.838459014892578,-0.262603759765625,-0.09214699268341064,0.051669489592313766,-0.9598238468170166,1.8725547790527344,96.74433135986328,59.25422286987305,-0.010854244232177734
1742888639.5272396,-0.0005322897405193316,0.000869069115124887,-0.010854244232177734,-1.9578529596328735,-11.529619216918945,-0.29947662353515625,-0.10370950400829315,0.06175585091114044,-1.0195167064666748,1.8532081842422485,96.74433135986328,59.25422286987305,-0.010854244232177734
